name,country_code,state_code,region,city,market_category,market,founded_at,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
121cast,AUS,,Melbourne,Melbourne,Mobile, Mobile ,2012-02-01,270000.0,2.0,2012-05-01,2012-11-13,operating,250000.0,,,,,,,20000.0,,,,,,,,,,,,,
121nexus,USA,RI,Providence,Providence,Healthcare, Pharmaceuticals ,2011-10-07,794000.0,6.0,2012-02-06,2014-01-01,operating,69000.0,,,,,,500000.0,225000.0,,,,,,,,,,,,,
1234ENTER,,,,,Advertising & Marketing, Advertising ,2012-01-01,650267.0,2.0,2012-09-01,2013-11-22,operating,500000.0,150267.0,,,,,,,,,,,,,,,,,,,
1248,GBR,,London,Cambridge,Software & SaaS, Software ,2013-01-01,378812.0,1.0,2014-03-18,2014-03-18,operating,378812.0,,,,,,,,,,,,,,,,,,,,
12Bis,FRA,,Paris,Paris,,,2008-01-01,130636.0,1.0,2012-03-15,2012-03-15,operating,130636.0,,,,,,,,,,,,,,,,,,,,
12Return,NLD,,NLD - Other,Gorinchem,Software & SaaS, Software ,2010-12-10,619494.0,1.0,2012-06-01,2012-06-01,operating,,,,,,,619494.0,,,,,,,,,,,,,,
1366 Technologies,USA,MA,Boston,Bedford,Manufacturing & Logistics, Manufacturing ,2007-01-01,124750000.0,8.0,2008-03-27,2013-12-12,operating,,63450000.0,,,,,,3000000.0,,,,,,12400000.0,28400000.0,17500000.0,,,,,
13th Lab,SWE,,Stockholm,Stockholm,Mobile, Mobile ,2010-01-01,700000.0,1.0,2012-06-15,2012-06-15,operating,700000.0,,,,,,,,,,,,,,,,,,,,
140 Proof,USA,CA,SF Bay Area,San Francisco,Advertising & Marketing, Advertising ,2010-01-11,11000000.0,2.0,2009-07-01,2011-04-28,operating,,5500000.0,,,,,,,,,,,,3000000.0,2500000.0,,,,,,
140Fire,USA,CA,Los Angeles,Santa Monica,Entertainment & Media, Entertainment ,2010-01-01,500000.0,1.0,2010-05-05,2010-05-05,operating,500000.0,,,,,,,,,,,,,,,,,,,,
159.com,CHN,,CHN - Other,,Software & SaaS, Software ,,12409644.0,2.0,2008-02-01,2011-03-01,operating,,6204822.0,,,,,,,,,,,,4500000.0,1704822.0,,,,,,
15Five,USA,CA,SF Bay Area,San Francisco,Software & SaaS, Software ,2011-05-01,3400000.0,3.0,2012-01-01,2014-10-02,operating,2200000.0,,,,,,1200000.0,,,,,,,,,,,,,,
15MinutesNOW,,,,,Entertainment & Media, Games ,2011-04-19,200000.0,1.0,2011-05-10,2011-05-10,operating,200000.0,,,,,,,,,,,,,,,,,,,,
16 Mile Solutions,USA,WA,Seattle,Seattle,Software & SaaS, Software ,2006-01-01,199957.0,1.0,2009-06-11,2009-06-11,operating,,199957.0,,,,,,,,,,,,,,,,,,,
169 ST.,USA,FL,Orlando,Lake Mary,Entertainment & Media, Games ,2009-05-15,50000.0,1.0,2009-06-01,2009-06-01,operating,,,,,,,50000.0,,,,,,,,,,,,,,
170 Systems,USA,MA,Boston,Bedford,Software & SaaS, Software ,1990-01-01,28000000.0,1.0,2002-04-16,2002-04-16,acquired,,14000000.0,,,,,,,,,,,,14000000.0,,,,,,,
17u.cn,CHN,,Shanghai,Suzhou,Travel & Hospitality, Travel ,2004-01-01,168880638.0,3.0,2008-01-01,2014-02-17,operating,,84440319.0,,,,,,,,,,,,479014.0,,83961305.0,,,,,
1871,USA,IL,Chicago,Chicago,Other, Designers ,,2500000.0,1.0,2014-06-17,2014-06-17,operating,,,,,,,,2500000.0,,,,,,,,,,,,,
19pay,CHN,,Beijing,Beijing,Finance & FinTech, Finance ,2005-01-01,15708511.0,3.0,2006-01-01,2013-07-01,operating,,6230000.0,,3248511.0,,,,,,,,,,,6230000.0,,,,,,
1C Company,RUS,,Moscow,Moscow,Software & SaaS, Software ,1991-01-01,200000000.0,1.0,2011-10-03,2011-10-03,,,,,,,,,,200000000.0,,,,,,,,,,,,
1calendar,DNK,,Copenhagen,Copenhagen,Education, Education ,2009-01-19,40000.0,1.0,2008-04-04,2008-04-04,operating,,,,,,,40000.0,,,,,,,,,,,,,,
1d4 Pty,NOR,,Aust-Agder,,,,,40000.0,1.0,2012-04-11,2012-04-11,operating,40000.0,,,,,,,,,,,,,,,,,,,,
1DayLater,,,,,E-Commerce & Retail, Curated Web ,2009-08-26,43811.0,2.0,2009-05-01,2009-10-01,operating,,,,,,31924.0,,11887.0,,,,,,,,,,,,,
1DayMakeover,USA,CA,"Orange County, California",Santa Ana,E-Commerce & Retail, E-Commerce ,2008-06-30,50000.0,1.0,2008-06-30,2008-06-30,closed,50000.0,,,,,,,,,,,,,,,,,,,,
1Energy Systems,USA,WA,Seattle,Seattle,Software & SaaS, Software ,2010-01-01,1450000.0,1.0,2013-04-22,2013-04-22,operating,,1450000.0,,,,,,,,,,,,,,,,,,,
1EQ,,,,,Healthcare, Mobile Health ,2013-03-08,2100000.0,3.0,2012-07-01,2013-12-23,operating,2100000.0,,,,,,,,,,,,,,,,,,,,
1jiajie,CHN,,Beijing,Beijing,E-Commerce & Retail, E-Commerce ,,8326264.0,2.0,2013-09-01,2014-09-16,operating,,4163132.0,,,,,,,,,,,,4163132.0,,,,,,,
1Lay,,,,,Security, Mobile Security ,2013-07-18,170000.0,1.0,2014-05-30,2014-05-30,operating,170000.0,,,,,,,,,,,,,,,,,,,,
1Life Healthcare,USA,CA,SF Bay Area,San Francisco,Healthcare, Health and Wellness ,2002-01-01,60000000.0,1.0,2013-03-21,2013-03-21,operating,,30000000.0,,,,,,,,,,,,,,,,30000000.0,,,
1Mind,USA,NH,"Manchester, New Hampshire",Hampton Falls,Social & Communication, Social Media ,2011-01-01,500000.0,1.0,2013-08-05,2013-08-05,operating,500000.0,,,,,,,,,,,,,,,,,,,,
1Rebel,,,,,Healthcare, Fitness ,,2572969.0,1.0,2014-09-01,2014-09-01,operating,,,2572969.0,,,,,,,,,,,,,,,,,,
1SDK,DEU,,Berlin,Berlin,Analytics & AI, Predictive Analytics ,2013-01-25,156000.0,2.0,2013-08-05,2013-09-02,operating,156000.0,,,,,,,,,,,,,,,,,,,,
1spire,USA,TX,Houston,Houston,Manufacturing & Logistics, Manufacturing ,2011-10-01,30000.0,1.0,2011-12-20,2011-12-20,operating,,30000.0,,,,,,,,,,,,,,,,,,,
1st Merchant Funding,USA,FL,Miami,Miami,Finance & FinTech, Financial Services ,2007-01-01,10000000.0,1.0,2014-05-07,2014-05-07,,,,,,,10000000.0,,,,,,,,,,,,,,,
1stdibs,USA,NY,New York City,New York,E-Commerce & Retail, E-Commerce ,2001-01-01,132000000.0,4.0,2011-11-03,2014-01-24,operating,,57000000.0,,60000000.0,,,,,,,,,,,,15000000.0,,,,,
1stGig.com,USA,NY,"Albany, New York",Saratoga Springs,E-Commerce & Retail, E-Commerce ,2009-08-01,750000.0,1.0,2012-10-01,2012-10-01,operating,,,,,,,750000.0,,,,,,,,,,,,,,
1World Online,USA,CA,SF Bay Area,San Jose,Software & SaaS, Enterprise Software ,2011-12-01,3000000.0,2.0,2013-07-02,2013-12-01,operating,,1500000.0,,,,,,,,,,,,1500000.0,,,,,,,
2 Minutes,FRA,,Paris,Paris,Entertainment & Media, Games ,2000-10-01,3320000.0,1.0,2008-06-19,2008-06-19,operating,,1660000.0,,,,,,,,,,,,1660000.0,,,,,,,
2 Pro Media Group,,,,,,,2011-01-01,41250.0,1.0,2014-01-01,2014-01-01,operating,41250.0,,,,,,,,,,,,,,,,,,,,
2-Observe,BEL,,BEL - Other,Ferrières,,,2010-01-01,204189.0,1.0,2014-06-25,2014-06-25,operating,204189.0,,,,,,,,,,,,,,,,,,,,
20/20 Gene Systems Inc.,USA,MD,"Washington, D.C.",Rockville,Biotechnology, Biotechnology ,2000-05-01,150000.0,1.0,2012-09-25,2012-09-25,operating,,150000.0,,,,,,,,,,,,,,,,,,,
2080 Media,USA,GA,Atlanta,Atlanta,Entertainment & Media, News ,2008-01-01,69500000.0,5.0,2010-08-05,2013-07-19,operating,,35700000.0,,,,5300000.0,,,,,,,,2500000.0,,,26000000.0,,,,
20:20 Mobile,IRL,,IRL - Other,Cree,Mobile, Mobile ,2006-09-01,29750000.0,1.0,2008-07-04,2008-07-04,operating,,29750000.0,,,,,,,,,,,,,,,,,,,
20lines,ITA,,Roncade,Roncade,E-Commerce & Retail, Curated Web ,2012-01-01,1236454.0,3.0,2012-11-15,2014-06-01,operating,1236454.0,,,,,,,,,,,,,,,,,,,,
20x200,USA,NY,New York City,New York,Entertainment & Media, Art ,2007-09-01,5600000.0,2.0,2009-10-01,2010-08-01,operating,,2800000.0,,,,,,,,,,,,2800000.0,,,,,,,
21Cake Food Co.,CHN,,Beijing,Beijing,Manufacturing & Logistics, Manufacturing ,2004-01-01,1464128.0,1.0,2010-01-22,2010-01-22,operating,,,,,,,1464128.0,,,,,,,,,,,,,,
21Diamonds,IND,,New Delhi,Gurgaon,E-Commerce & Retail, E-Commerce ,2012-06-01,12739014.0,1.0,2012-11-15,2012-11-15,operating,,6369507.0,,,,,,,,,,,,,,6369507.0,,,,,
2.10E+07,USA,CA,SF Bay Area,San Francisco,Analytics & AI, Big Data ,2013-01-01,5050000.0,1.0,2013-11-17,2013-11-17,operating,,5050000.0,,,,,,,,,,,,,,,,,,,
21GRAMS,SWE,,Stockholm,Stockholm,Software & SaaS, Software ,,2580000.0,1.0,2006-04-03,2006-04-03,operating,,2580000.0,,,,,,,,,,,,,,,,,,,
21st Century Oncology,USA,FL,Fort Myers,Fort Myers,Healthcare, Health and Wellness ,,325000000.0,1.0,2014-09-26,2014-09-26,operating,,,,,,,,,325000000.0,,,,,,,,,,,,
21viaNet,CHN,,Beijing,Beijing,Software & SaaS, Software ,2009-10-16,100000000.0,2.0,2012-12-01,2013-10-01,operating,,,,,,,,,,100000000.0,,,,,,,,,,,
22nd Century Group,USA,NY,NY - Other,Clarence,Biotechnology, Biotechnology ,1998-01-01,17463250.0,6.0,2010-12-28,2014-09-18,operating,,12528500.0,,,,2506250.0,,,,,,,,2428500.0,,,,,,,
22seeds,ISR,,Tel Aviv,Tel Aviv,Software & SaaS, Software ,2010-01-01,250000.0,1.0,2013-10-15,2013-10-15,operating,250000.0,,,,,,,,,,,,,,,,,,,,
2345.com,CHN,,Shanghai,Shanghai,Software & SaaS, Software ,2005-09-01,1610541.0,2.0,2010-05-01,2010-10-01,operating,,,,1610541.0,,,,,,,,,,,,,,,,,
2359 Media,SGP,,Singapore,Singapore,Mobile, Mobile ,2009-02-01,1230000.0,1.0,2011-01-11,2011-01-11,operating,,615000.0,,,,,,,,,,,,615000.0,,,,,,,
23andMe,USA,CA,SF Bay Area,Mountain View,Biotechnology, Biotechnology ,2006-04-01,222499800.0,6.0,2007-05-01,2014-07-29,operating,,110549900.0,,,,,,1400000.0,,,,,,9000000.0,12600000.0,31000000.0,57949900.0,,,,
23press,CAN,ON,Toronto,Toronto,Software & SaaS, Blogging Platforms ,2011-06-01,50000.0,1.0,2011-08-15,2011-08-15,operating,50000.0,,,,,,,,,,,,,,,,,,,,
24 Media Network,SWE,,Stockholm,Stockholm,Entertainment & Media, News ,,1209701.0,2.0,2008-09-01,2009-01-01,operating,,1024250.0,,185451.0,,,,,,,,,,,,,,,,,
24/7 Card,USA,CA,Los Angeles,Los Angeles,Finance & FinTech, Finance ,,3452941.0,3.0,2010-10-25,2011-12-21,closed,,3452941.0,,,,,,,,,,,,,,,,,,,
247 Techies,USA,NY,New York City,New York,Hardware & Semiconductors, Hardware + Software ,,600000.0,1.0,2012-11-05,2012-11-05,operating,600000.0,,,,,,,,,,,,,,,,,,,,
248 SolidState,USA,CA,Los Angeles,Rolling Hills Estates,,,2007-01-01,1000000.0,1.0,2009-07-23,2009-07-23,operating,,500000.0,,,,,,,,,,,,,500000.0,,,,,,
24Fundraiser.com,USA,IL,Chicago,Willowbrook,Finance & FinTech, Social Fundraising ,2007-08-01,400000.0,1.0,2014-05-01,2014-05-01,operating,400000.0,,,,,,,,,,,,,,,,,,,,
24M Technologies,USA,MD,Salisbury,Cambridge,Clean Tech & Energy, Clean Technology ,2010-01-01,32000000.0,1.0,2010-08-16,2010-08-16,operating,,16000000.0,,,,,,,,,,,,16000000.0,,,,,,,
24PageBooks,USA,NY,"Rochester, New York",Rochester,Software & SaaS, Software ,2010-01-01,50000.0,1.0,2011-05-24,2011-05-24,closed,50000.0,,,,,,,,,,,,,,,,,,,,
24tidy,CHN,,CHN - Other,,Other, Services ,,3548649.0,2.0,2013-12-27,2014-07-14,operating,,1692088.0,,,,,164473.0,,,,,,,1692088.0,,,,,,,
24x7 Learning,IND,,Bangalore,Bangalore,Education, Education ,2001-01-01,4000000.0,1.0,2007-11-06,2007-11-06,operating,,4000000.0,,,,,,,,,,,,,,,,,,,
250ok,USA,IN,Indianapolis,Indianapolis,Software & SaaS, Software ,2012-01-01,200000.0,1.0,2012-09-01,2012-09-01,operating,200000.0,,,,,,,,,,,,,,,,,,,,
25eight,,,,,Software & SaaS, Software ,,25000.0,1.0,2010-01-26,2010-01-26,closed,25000.0,,,,,,,,,,,,,,,,,,,,
265 Network,CHN,,Beijing,Beijing,Software & SaaS, Software ,2004-01-01,2000000.0,1.0,2004-12-01,2004-12-01,operating,,2000000.0,,,,,,,,,,,,,,,,,,,
27 Perry,USA,CO,Denver,Boulder,E-Commerce & Retail, E-Commerce ,2012-07-25,118000.0,1.0,2012-05-17,2012-05-17,closed,118000.0,,,,,,,,,,,,,,,,,,,,
280 North,,,,,Software & SaaS, Software ,,250000.0,2.0,2008-01-01,2008-03-01,acquired,,,,,,,250000.0,,,,,,,,,,,,,,
28msec,USA,CA,SF Bay Area,Palo Alto,Software & SaaS, Software ,2008-01-01,5844811.0,1.0,2013-10-28,2013-10-28,operating,,5844811.0,,,,,,,,,,,,,,,,,,,
2B Angels,ISR,,Tel Aviv,Herzliya,,,2009-01-01,1000000.0,1.0,2013-11-01,2013-11-01,operating,1000000.0,,,,,,,,,,,,,,,,,,,,
2C2P,THA,,Bangkok,Bangkok,Software & SaaS, Software ,2003-01-01,6000000.0,3.0,2011-01-01,2014-06-03,operating,,3000000.0,,,,,,,,,,,,1000000.0,2000000.0,,,,,,
2can,RUS,,Moscow,Moscow,Mobile, Mobile ,2012-04-12,14000000.0,2.0,2012-09-01,2014-03-31,operating,,7000000.0,,,,,,,,,,,,2000000.0,5000000.0,,,,,,
2Catalyze,CAN,ON,Toronto,Toronto,Software & SaaS, Software ,2008-01-01,6785876.0,1.0,2010-08-25,2010-08-25,operating,,6785876.0,,,,,,,,,,,,,,,,,,,
2Checkout,USA,OH,"Columbus, Ohio",Columbus,E-Commerce & Retail, E-Commerce ,,120000000.0,1.0,2014-07-16,2014-07-16,operating,,60000000.0,,,,,,,,,,,,60000000.0,,,,,,,
2CRisk,AUS,,Brisbane,Brisbane,Software & SaaS, Software ,2010-07-01,383000.0,2.0,2010-04-01,2012-10-10,operating,,,,,,,,383000.0,,,,,,,,,,,,,
2d2c,USA,IL,Chicago,Lincolnshire,Hardware & Semiconductors, Hardware + Software ,,2941000.0,3.0,2009-04-07,2011-01-18,operating,,2500000.0,,,,441000.0,,,,,,,,,,,,,,,
2degreesmobile,NZL,,Auckland,Auckland,Mobile, Mobile ,2009-01-01,165000000.0,1.0,2013-06-18,2013-06-18,operating,,,,,,165000000.0,,,,,,,,,,,,,,,
2DHeat,GBR,,Warrington,Warrington,Clean Tech & Energy, Clean Technology ,,474116.0,4.0,2014-10-24,2014-10-24,operating,,,,,,,209183.0,264933.0,,,,,,,,,,,,,
2DOLife.com,USA,CA,SF Bay Area,San Pablo,Software & SaaS, Software ,2011-12-01,250000.0,1.0,2013-11-10,2013-11-10,operating,,,,,,,,250000.0,,,,,,,,,,,,,
2GO Mobile Solutions,USA,TX,Dallas,Plano,Software & SaaS, Software ,2008-01-01,275000.0,1.0,2010-04-09,2010-04-09,operating,,,,,,,275000.0,,,,,,,,,,,,,,
2heuresavant,FRA,,Paris,Paris,,,2010-01-01,33457.0,1.0,2010-07-01,2010-07-01,operating,33457.0,,,,,,,,,,,,,,,,,,,,
2houses,BEL,,Brussels,Bel,E-Commerce & Retail, Curated Web ,2011-05-01,1826830.0,2.0,2011-08-08,2012-11-09,operating,106626.0,860102.0,,,,,,,,,,,,860102.0,,,,,,,
"2nd Story Software, Inc.",USA,IA,Cedar Rapids,Cedar Rapids,Software & SaaS, Software ,1998-02-15,85000000.0,1.0,2005-03-30,2005-03-30,acquired,,,,,,,,,85000000.0,,,,,,,,,,,,
2nd Watch,USA,WA,Seattle,Seattle,Software & SaaS, Corporate IT ,2010-01-01,70644420.0,4.0,2011-12-06,2014-10-14,operating,,37644420.0,,,,,,,,,,,,,,33000000.0,,,,,
2NDNATURE,USA,CA,SF Bay Area,Santa Cruz,,,2004-01-01,20000.0,1.0,2013-03-31,2013-03-31,operating,,20000.0,,,,,,,,,,,,,,,,,,,
2NGageU,USA,VT,VT - Other,Williston,Social & Communication, Mobile Social ,2011-12-26,58000.0,1.0,2012-04-12,2012-04-12,operating,58000.0,,,,,,,,,,,,,,,,,,,,
2Nite2Nite.net,USA,CA,Sacramento,Elk Grove,Advertising & Marketing, Advertising ,2013-09-13,6000.0,1.0,2014-09-13,2014-09-13,operating,,,6000.0,,,,,,,,,,,,,,,,,,
2sms,USA,IL,Chicago,Schaumburg,Social & Communication, Messaging ,,939000.0,1.0,2007-11-01,2007-11-01,operating,,939000.0,,,,,,,,,,,,,,,,,,,
2threads,AUS,,Sydney,Sydney,Entertainment & Media, Art ,2004-05-01,300000.0,2.0,2007-08-01,2008-06-01,operating,100000.0,,,,,,200000.0,,,,,,,,,,,,,,
2U,USA,MD,Baltimore,Hanover,Software & SaaS, Software ,2008-01-01,189475000.0,6.0,2009-03-25,2013-10-21,operating,2275000.0,93600000.0,,,,,,,,,,,,10000000.0,20000000.0,32500000.0,31100000.0,,,,
2Vancouver,CAN,BC,Vancouver,Vancouver,Other, Navigation ,2012-01-25,80000.0,1.0,2011-06-01,2011-06-01,operating,,80000.0,,,,,,,,,,,,,,,,,,,
3-V Biosciences,USA,CA,SF Bay Area,Menlo Park,Biotechnology, Biotechnology ,2007-03-01,128089000.0,4.0,2009-07-10,2013-06-21,operating,,78089000.0,,,,,,,,,,,,,30000000.0,20000000.0,,,,,
30 Second Showcase,USA,NJ,Newark,Clifton,Entertainment & Media, Photography ,2013-04-01,25000.0,1.0,2013-05-20,2013-05-20,operating,25000.0,,,,,,,,,,,,,,,,,,,,
312 Capital,USA,IL,Chicago,Chicago,Finance & FinTech, Finance ,2013-01-23,500000.0,1.0,2014-09-16,2014-09-16,operating,,,500000.0,,,,,,,,,,,,,,,,,,
31Dover,GBR,,London,London,Other, Wine And Spirits ,2012-07-01,4549432.0,1.0,2014-03-01,2014-03-01,operating,,2274716.0,,,,,,,,,,,,,2274716.0,,,,,,
33Across,USA,NY,New York City,New York,Advertising & Marketing, Advertising ,2007-09-01,49039120.0,5.0,2009-02-06,2012-07-19,operating,750000.0,24904560.0,,,,,,,,,,,,1284560.0,9000000.0,13100000.0,,,,,
"360fly, Inc.",USA,PA,Pittsburgh,Pittsburgh,E-Commerce & Retail, Consumer Electronics ,1998-01-01,35600000.0,1.0,2014-08-11,2014-08-11,operating,,17800000.0,,,,,,,,,,,,,17800000.0,,,,,,
360Guanxi,CHN,,Shanghai,Shanghai,Biotechnology, Life Sciences ,2000-01-01,5000000.0,1.0,2009-06-01,2009-06-01,operating,,5000000.0,,,,,,,,,,,,,,,,,,,
360imaging,USA,GA,Atlanta,Atlanta,Biotechnology, Biotechnology ,2005-01-01,2000000.0,2.0,2011-11-01,2013-01-01,operating,,1000000.0,,,,,,,,,,,,1000000.0,,,,,,,
360incentives.com,CAN,ON,Toronto,Whitby,Software & SaaS, Software ,2008-01-01,7650000.0,1.0,2013-01-15,2013-01-15,operating,,7650000.0,,,,,,,,,,,,,,,,,,,
360Learning,FRA,,Paris,Paris,Education, Corporate Training ,2010-01-01,1543920.0,1.0,2013-09-30,2013-09-30,operating,1543920.0,,,,,,,,,,,,,,,,,,,,
360pi,CAN,ON,Ottawa,Ottawa,Analytics & AI, Artificial Intelligence ,2007-07-01,4100000.0,2.0,2012-04-20,2013-08-18,operating,,4100000.0,,,,,,,,,,,,,,,,,,,
360SHOP,CHN,,CHN - Other,,Software & SaaS, Enterprise Software ,,3247280.0,1.0,2013-03-01,2013-03-01,operating,,1623640.0,,,,,,,,,,,,1623640.0,,,,,,,
365 Data Centers,USA,CA,SF Bay Area,Emeryville,Other, Services ,2012-01-01,32000000.0,1.0,2014-09-10,2014-09-10,operating,,16000000.0,,,,,,,,,,,,,16000000.0,,,,,,
365looks,ESP,,ESP - Other,,E-Commerce & Retail, Fashion ,2011-12-12,73047.0,2.0,2011-12-01,2012-07-01,operating,73047.0,,,,,,,,,,,,,,,,,,,,
365net,,,,,Mobile, Mobile ,2006-01-01,2203975.0,1.0,2007-05-01,2007-05-01,operating,,,,2203975.0,,,,,,,,,,,,,,,,,
365Scores,ISR,,Tel Aviv,Tel Aviv,Entertainment & Media, Sports ,2008-01-01,13400000.0,2.0,2013-01-28,2014-09-29,operating,,6700000.0,,,,,,,,,,,,1200000.0,5500000.0,,,,,,
